"min_left_angle","max_left_angle","min_right_angle","max_right_angle","rep_duration","left_rom","right_rom","elbow_rom_diff","concentric_duration","eccentric_duration","left_peak_velocity","right_peak_velocity","torso_lean_mean","torso_lean_max","torso_sway","left_elbow_drift","right_elbow_drift","pose_visibility_mean","pose_visibility_min","tracking_lost_ratio","is_good"
"13.87","177.79","17.97","179.98","7.61","163.91","162.02","1.89","6.92","0.62","715.4","698.02","1.24","2.2","1.89","0.0222","0.0235","0.989","0.9797","0.0","1"
"18.98","177.7","25.16","179.98","3.43","158.73","154.82","3.9","3.24","0.14","2389.64","2206.88","0.13","0.35","0.34","0.0065","0.0125","0.9821","0.9651","0.0","0"
"8.48","179.96","16.86","179.5","4.69","171.48","162.64","8.85","4.07","0.58","1063.77","490.48","0.47","1.16","1.13","0.0101","0.0257","0.9795","0.9571","0.0","0"
"12.91","179.76","18.0","179.99","8.96","166.85","161.99","4.86","8.43","0.48","1156.5","2024.25","0.36","1.41","1.4","0.0772","0.0946","0.9904","0.9455","0.0","1"
"0.38","179.98","13.19","179.86","3.84","179.6","166.67","12.93","3.71","0.08","2893.82","2324.64","0.69","2.39","2.38","0.0536","0.0356","0.9662","0.8791","0.0","0"
"78.01","179.99","83.55","179.18","5.36","101.98","95.63","6.35","5.12","0.21","664.51","844.31","0.25","1.0","0.99","0.0368","0.0399","0.9664","0.9224","0.0","0"
"13.6","179.99","22.7","179.75","4.93","166.39","157.05","9.34","4.57","0.31","1374.94","1037.07","0.66","2.84","2.84","0.0601","0.0798","0.9734","0.9124","0.0","1"
"3.07","179.86","6.37","180.0","14.19","176.79","173.63","3.16","13.67","0.44","1956.29","1558.4","0.53","1.7","1.7","0.0369","0.0417","0.9769","0.937","0.0","0"
"13.02","179.82","11.09","179.91","7.46","166.8","168.82","2.01","6.97","0.43","1118.97","945.52","0.62","1.43","1.43","0.1079","0.0862","0.9454","0.8296","0.0","1"
"14.82","178.96","18.78","179.32","1.59","164.15","160.54","3.61","1.37","0.18","1901.43","1304.43","0.48","0.68","0.38","0.0045","0.0162","0.9532","0.9453","0.0","0"
"54.99","179.95","51.42","179.92","5.24","124.96","128.5","3.54","4.9","0.29","1014.61","984.35","0.42","1.01","1.0","0.0201","0.042","0.9553","0.9252","0.0","0"
"6.7","179.74","19.85","179.56","5.73","173.04","159.71","13.33","5.25","0.43","923.4","2165.82","0.8","2.11","2.09","0.0742","0.0443","0.93","0.8129","0.0","0"
"18.02","179.99","15.18","179.84","6.94","161.98","164.66","2.69","6.71","0.2","2177.15","2115.45","0.78","2.37","2.36","0.0608","0.0561","0.9638","0.9388","0.0","0"
"76.15","177.34","83.61","179.81","2.92","101.18","96.21","4.98","2.65","0.23","443.64","471.55","0.8","2.5","2.38","0.0145","0.0247","0.9765","0.9714","0.0","0"
"10.84","177.56","14.34","179.56","2.52","166.72","165.22","1.5","2.0","0.47","1636.67","1509.63","1.28","2.57","2.2","0.0183","0.0121","0.9597","0.9092","0.0","0"
"19.76","179.35","26.31","179.62","3.21","159.59","153.31","6.28","3.02","0.16","2115.88","2105.57","0.35","1.71","1.69","0.0217","0.0375","0.9603","0.9419","0.0","0"
"59.74","179.32","67.63","179.99","6.97","119.58","112.36","7.22","6.67","0.26","1218.02","972.73","0.45","2.1","2.1","0.0189","0.0271","0.9776","0.9591","0.0","0"
"16.16","179.95","19.93","179.53","3.25","163.79","159.6","4.19","2.81","0.4","975.91","994.76","0.38","1.33","1.33","0.0134","0.0258","0.9848","0.9765","0.0","1"
"11.35","176.89","14.3","179.69","2.99","165.53","165.38","0.15","2.67","0.27","1270.94","1450.62","0.36","1.0","0.99","0.0166","0.0083","0.971","0.9525","0.0","0"
"12.46","174.92","16.36","179.98","1.77","162.45","163.62","1.16","1.41","0.32","1209.77","1517.42","0.58","0.81","0.67","0.0067","0.0116","0.9803","0.9661","0.0","1"
"10.59","174.39","15.17","178.62","2.07","163.79","163.45","0.34","1.63","0.41","1194.07","1067.58","0.4","1.17","1.16","0.0039","0.0155","0.9823","0.9722","0.0","1"
"22.47","177.38","32.78","179.61","2.28","154.92","146.83","8.09","2.0","0.25","2030.39","1333.97","0.83","1.3","0.94","0.0059","0.0098","0.9786","0.9709","0.0","0"
"11.72","179.99","17.59","180.0","9.55","168.27","162.41","5.86","9.02","0.46","1908.22","1077.42","1.29","6.41","6.35","0.2381","0.2467","0.7216","0.4112","0.0","1"
"16.32","179.99","16.93","179.98","5.01","163.67","163.05","0.62","4.43","0.53","1319.53","1033.91","0.62","1.29","1.28","0.0122","0.0334","0.8873","0.3386","0.0","1"
"10.38","178.83","13.04","178.81","4.09","168.44","165.77","2.67","3.49","0.54","1235.89","1210.15","0.97","1.5","1.2","0.0168","0.0116","0.9902","0.9817","0.0","1"
"11.3","178.47","11.67","178.99","5.54","167.17","167.33","0.15","4.89","0.57","941.78","1180.58","1.0","2.66","2.6","0.0406","0.0517","0.9876","0.976","0.0","1"
"10.69","179.99","15.24","179.8","6.4","169.3","164.56","4.74","5.89","0.46","1153.1","949.11","0.7","2.18","2.17","0.177","0.3164","0.7397","0.2199","0.0","1"
