participant_id,session_id,recording_id,rep_number,recorded_at_utc,source,tracked_side,min_knee_angle,max_knee_angle,knee_rom,knee_angle_at_bottom,max_descent_knee_velocity,max_ascent_knee_velocity,min_hip_angle,max_hip_angle,hip_rom,hip_angle_at_bottom,hip_vertical_drop,hip_knee_depth_at_bottom,min_ankle_angle,max_ankle_angle,ankle_rom,ankle_angle_at_bottom,standing_torso_lean,torso_lean_at_bottom,max_torso_lean,torso_lean_range,heel_lift_max,heel_lift_bottom_fraction,hip_shoulder_rise_difference,movement_smoothness,rep_duration,descent_duration,bottom_duration,ascent_duration,descent_ascent_ratio,pose_visibility_mean,pose_visibility_min,valid_frame_ratio,valid_frame_count,err_shallow_depth,err_incomplete_lockout,err_heel_lift,err_excessive_torso_lean,err_chest_collapse,err_uncontrolled_tempo,is_good
p001,20260722_183858,0,1,2026-07-22T15:39:47.909421+00:00,0,left,91.120977,170.182283,79.061306,91.255128,169.775126,173.779109,86.96825,165.486234,78.517985,86.96825,0.264233,-0.08421,105.53711,123.154752,17.617642,106.544963,2.413495,25.826669,26.266671,20.377413,0.019091,0.0,0.004349,243.298611,1.906,0.609,0.203,0.937,0.649947,0.989368,0.985561,0.909091,20.0,0,0,0,0,0,0,1
p001,20260722_183858,0,2,2026-07-22T15:40:04.150744+00:00,0,left,116.362934,171.989278,55.626343,118.285849,0.0,199.604397,110.67603,164.13482,53.45879,115.25697,0.185848,-0.154464,105.303307,119.446876,14.143569,105.812922,2.413495,19.064242,21.987848,14.336968,0.008519,0.0,0.0,216.740134,1.594,0.0,0.563,0.844,0.0,0.988121,0.982859,1.0,19.0,0,0,0,0,0,0,0
p001,20260722_183858,0,3,2026-07-22T15:40:17.095404+00:00,0,left,89.176159,172.903918,83.72776,89.176159,45.638135,181.431264,84.124992,167.622864,83.497872,84.124992,0.279356,-0.070471,105.870859,122.753326,16.882467,107.066584,2.413495,27.818218,27.818218,21.895839,0.020951,0.0,0.0,472.939429,1.515,0.359,0.078,0.89,0.403371,0.988136,0.982639,0.944444,17.0,0,0,0,0,0,0,1
p001,20260722_183858,0,4,2026-07-22T15:40:53.174491+00:00,0,left,93.404538,166.16335,72.758812,93.404538,130.863802,295.310922,89.42121,162.952356,73.531146,89.42121,0.260865,-0.085595,104.745426,112.020446,7.27502,107.070471,2.413495,25.074581,25.074581,17.748821,0.020479,0.0,0.0,164.519625,1.593,0.328,0.187,0.89,0.368539,0.991162,0.986463,1.0,19.0,0,0,0,0,0,0,0
p001,20260722_183858,0,5,2026-07-22T15:41:09.523010+00:00,0,left,104.230793,167.769198,63.538405,104.230793,157.969353,187.860382,97.962297,165.530247,67.567949,97.962297,0.235338,-0.103875,107.158909,121.553249,14.394341,107.845799,2.413495,26.619635,27.62925,22.533249,0.019014,0.0,0.0,274.129061,1.719,0.266,0.187,0.797,0.333752,0.990814,0.987083,0.85,17.0,0,0,0,0,0,0,1
p002,20260722_213243,0,2,2026-07-22T18:40:29.895515+00:00,0,right,72.17404,175.909429,103.735389,72.533156,205.289661,265.283441,63.522218,169.595244,106.073026,64.378858,0.420931,-0.01592,99.259207,112.870599,13.611392,100.366501,3.585084,30.178091,30.355992,25.331548,0.0,0.0,0.001773,519.262155,2.109,0.843,0.328,0.844,0.998815,0.990922,0.98325,1.0,46.0,0,0,0,0,0,0,1
p002,20260722_213243,0,3,2026-07-22T18:41:05.548222+00:00,0,right,121.430367,164.903037,43.47267,126.036755,80.297803,302.092569,131.33807,177.686333,46.348263,135.851826,0.179805,-0.187074,107.266298,129.385791,22.119492,127.350767,3.585084,8.780178,14.649346,13.995863,0.05125,0.0,0.0,111.180786,2.906,1.218,0.516,1.078,1.12987,0.969544,0.948431,1.0,63.0,0,0,0,0,0,0,0
p002,20260722_213243,0,4,2026-07-22T18:41:19.172055+00:00,0,right,72.809706,177.409896,104.60019,84.073423,157.881638,267.46234,69.794127,174.417346,104.623219,79.62294,0.414829,-0.049109,97.176633,114.411718,17.235085,99.594545,3.585084,25.466711,26.684638,20.510008,0.005648,0.0,0.0,364.624205,2.39,0.609,0.656,1.031,0.590689,0.990517,0.986123,1.0,52.0,0,0,0,0,0,0,1
p002,20260722_213243,0,5,2026-07-22T18:41:29.549429+00:00,0,right,75.045891,174.608557,99.562666,76.974381,131.571099,333.901626,64.450348,165.495712,101.045364,68.119833,0.4204,-0.010826,104.611478,121.894458,17.282981,107.120485,3.585084,25.234537,25.855594,18.216937,0.000531,0.0,0.0,244.578053,2.578,0.937,0.61,0.938,0.998934,0.992172,0.987922,1.0,56.0,0,0,0,0,0,0,1
p002,20260722_213243,0,6,2026-07-22T18:41:49.654920+00:00,0,right,132.117974,168.173459,36.055485,132.46683,136.595093,125.587072,126.037252,168.069642,42.03239,126.412869,0.187094,-0.198851,106.282498,115.566552,9.284053,110.406758,3.585084,18.271963,18.325111,15.155943,0.00424,0.0,0.0,221.608321,1.594,0.609,0.234,0.657,0.926941,0.985338,0.975511,1.0,35.0,0,0,0,0,0,0,0
