min_left_angle,max_left_angle,min_right_angle,max_right_angle,rep_duration,label
10.25,179.94,11.36,177.21,6.07,good
7.33,179.79,9.6,175.5,2.88,good
7.06,178.86,22.87,179.54,4.15,partial
6.01,179.85,17.25,171.44,3.32,partial
0.0,176.31,3.43,175.99,2.28,partial
1.6,162.3,0.03,176.19,4.95,partial
11.86,179.5,16.02,179.7,2.35,fast
0.98,179.88,10.86,179.8,6.84,fast
3.15,178.17,7.07,179.79,3.71,good
34.81,179.39,77.96,179.75,4.92,partial
5.86,176.2,15.94,172.05,2.11,fast
1.74,179.99,10.47,180.0,15.49,good
17.6,179.98,25.0,179.99,8.75,fast
1.04,179.99,2.87,180.0,15.68,partial
9.47,179.97,8.96,179.77,3.99,fast
47.23,174.16,53.06,178.67,3.33,partial
6.46,171.92,8.26,174.66,3.75,good
12.4,170.2,17.22,171.54,2.38,good
