"min_left_angle","max_left_angle","min_right_angle","max_right_angle","rep_duration","left_rom","right_rom","elbow_rom_diff","concentric_duration","eccentric_duration","left_peak_velocity","right_peak_velocity","torso_lean_mean","torso_lean_max","torso_sway","left_elbow_drift","right_elbow_drift","pose_visibility_mean","pose_visibility_min","tracking_lost_ratio","err_partial_rom","err_too_fast","err_torso_sway","err_elbow_drift","err_asymmetry","err_shoulder_swing","err_wrist_compensation","err_control_loss","is_good"
"13.87","177.79","17.97","179.98","7.61","163.91","162.02","1.89","6.92","0.62","715.4","698.02","1.24","2.2","1.89","0.0222","0.0235","0.989","0.9797","0.0","0","0","0","0","0","0","0","0","1"
"18.98","177.7","25.16","179.98","3.43","158.73","154.82","3.9","3.24","0.14","2389.64","2206.88","0.13","0.35","0.34","0.0065","0.0125","0.9821","0.9651","0.0","0","1","0","0","0","0","0","0","0"
"8.48","179.96","16.86","179.5","4.69","171.48","162.64","8.85","4.07","0.58","1063.77","490.48","0.47","1.16","1.13","0.0101","0.0257","0.9795","0.9571","0.0","0","0","0","0","1","0","0","0","0"
"12.91","179.76","18.0","179.99","8.96","166.85","161.99","4.86","8.43","0.48","1156.5","2024.25","0.36","1.41","1.4","0.0772","0.0946","0.9904","0.9455","0.0","0","0","0","0","0","0","0","0","1"
"0.38","179.98","13.19","179.86","3.84","179.6","166.67","12.93","3.71","0.08","2893.82","2324.64","0.69","2.39","2.38","0.0536","0.0356","0.9662","0.8791","0.0","0","1","0","0","0","0","0","0","0"
"78.01","179.99","83.55","179.18","5.36","101.98","95.63","6.35","5.12","0.21","664.51","844.31","0.25","1.0","0.99","0.0368","0.0399","0.9664","0.9224","0.0","1","0","0","0","0","0","0","0","0"
"13.6","179.99","22.7","179.75","4.93","166.39","157.05","9.34","4.57","0.31","1374.94","1037.07","0.66","2.84","2.84","0.0601","0.0798","0.9734","0.9124","0.0","0","0","0","0","0","0","0","0","1"
"3.07","179.86","6.37","180.0","14.19","176.79","173.63","3.16","13.67","0.44","1956.29","1558.4","0.53","1.7","1.7","0.0369","0.0417","0.9769","0.937","0.0","0","0","0","0","1","0","0","0","0"
"13.02","179.82","11.09","179.91","7.46","166.8","168.82","2.01","6.97","0.43","1118.97","945.52","0.62","1.43","1.43","0.1079","0.0862","0.9454","0.8296","0.0","0","0","0","0","0","0","0","0","1"
"14.82","178.96","18.78","179.32","1.59","164.15","160.54","3.61","1.37","0.18","1901.43","1304.43","0.48","0.68","0.38","0.0045","0.0162","0.9532","0.9453","0.0","0","1","0","0","0","0","0","0","0"
"54.99","179.95","51.42","179.92","5.24","124.96","128.5","3.54","4.9","0.29","1014.61","984.35","0.42","1.01","1.0","0.0201","0.042","0.9553","0.9252","0.0","1","0","0","0","0","0","0","0","0"
"6.7","179.74","19.85","179.56","5.73","173.04","159.71","13.33","5.25","0.43","923.4","2165.82","0.8","2.11","2.09","0.0742","0.0443","0.93","0.8129","0.0","0","0","0","0","1","0","0","0","0"
"18.02","179.99","15.18","179.84","6.94","161.98","164.66","2.69","6.71","0.2","2177.15","2115.45","0.78","2.37","2.36","0.0608","0.0561","0.9638","0.9388","0.0","0","1","0","0","0","0","0","0","0"
"76.15","177.34","83.61","179.81","2.92","101.18","96.21","4.98","2.65","0.23","443.64","471.55","0.8","2.5","2.38","0.0145","0.0247","0.9765","0.9714","0.0","1","0","0","0","0","0","0","0","0"
"10.84","177.56","14.34","179.56","2.52","166.72","165.22","1.5","2.0","0.47","1636.67","1509.63","1.28","2.57","2.2","0.0183","0.0121","0.9597","0.9092","0.0","0","0","0","0","1","0","0","0","0"
"19.76","179.35","26.31","179.62","3.21","159.59","153.31","6.28","3.02","0.16","2115.88","2105.57","0.35","1.71","1.69","0.0217","0.0375","0.9603","0.9419","0.0","0","1","0","0","0","0","0","0","0"
"59.74","179.32","67.63","179.99","6.97","119.58","112.36","7.22","6.67","0.26","1218.02","972.73","0.45","2.1","2.1","0.0189","0.0271","0.9776","0.9591","0.0","1","0","0","0","0","0","0","0","0"
"16.16","179.95","19.93","179.53","3.25","163.79","159.6","4.19","2.81","0.4","975.91","994.76","0.38","1.33","1.33","0.0134","0.0258","0.9848","0.9765","0.0","0","0","0","0","0","0","0","0","1"
