"min_left_angle","max_left_angle","min_right_angle","max_right_angle","rep_duration","left_rom","right_rom","elbow_rom_diff","concentric_duration","eccentric_duration","left_peak_velocity","right_peak_velocity","torso_lean_mean","torso_lean_max","torso_sway","left_elbow_drift","right_elbow_drift","pose_visibility_mean","pose_visibility_min","tracking_lost_ratio","err_partial_rom","err_too_fast","err_torso_sway","err_elbow_drift","err_asymmetry","err_shoulder_swing","err_wrist_compensation","err_control_loss","is_good"
"13.97","177.96","14.72","179.07","5.61","163.99","164.35","0.36","4.99","0.56","720.2","819.0","0.53","1.48","1.48","0.0172","0.0263","0.9802","0.917","0.0","0","0","0","0","0","0","1","0","0"
"2.04","180.0","10.15","179.85","14.32","177.96","169.7","8.25","13.92","0.35","1715.15","1254.84","1.76","6.8","6.8","0.1886","0.0455","0.9802","0.9601","0.0","0","0","0","0","0","1","0","0","0"
"11.64","179.99","16.06","180.0","10.54","168.35","163.94","4.41","9.78","0.72","713.16","568.83","0.92","2.79","2.79","0.0881","0.1401","0.9631","0.8325","0.0","0","0","0","0","0","0","1","0","0"
"6.49","180.0","11.73","179.93","7.98","173.51","168.2","5.32","7.36","0.56","1153.0","1131.83","0.56","2.32","2.32","0.0638","0.0521","0.9853","0.9738","0.0","0","0","0","0","0","1","0","0","0"
"19.37","179.78","23.51","179.97","8.46","160.41","156.46","3.95","7.76","0.66","633.46","447.11","1.22","5.02","5.0","0.3735","0.4068","0.8885","0.5589","0.0","0","0","0","1","0","0","0","0","0"
"11.07","180.0","15.69","179.69","5.4","168.93","164.0","4.93","4.93","0.43","919.4","812.97","0.78","1.48","1.32","0.0244","0.0275","0.9874","0.9811","0.0","0","0","0","0","0","0","0","1","0"
"8.64","179.86","9.08","179.91","8.56","171.22","170.83","0.39","7.78","0.72","1241.91","1131.42","1.22","5.29","5.26","0.0415","0.0747","0.976","0.9202","0.0","0","0","0","0","0","1","0","0","0"
"13.13","179.99","0.24","179.29","7.72","166.86","179.04","12.18","6.69","0.98","588.58","578.57","2.02","7.72","7.56","0.0955","0.067","0.9829","0.9604","0.0","0","0","0","0","0","0","1","0","0"
"20.03","179.97","27.42","179.8","23.77","159.94","152.38","7.56","23.13","0.57","652.51","668.32","0.81","1.96","1.93","0.0212","0.0394","0.99","0.9768","0.0","0","0","0","1","0","0","0","0","0"
"8.61","179.99","9.99","179.99","13.58","171.38","170.01","1.37","12.63","0.9","916.32","939.24","0.72","3.8","3.8","0.0444","0.0653","0.9826","0.9572","0.0","0","0","0","0","0","1","0","0","0"
"14.92","180.0","1.93","179.84","7.85","165.08","177.91","12.83","6.6","1.18","533.62","940.48","1.06","3.23","3.06","0.053","0.0727","0.982","0.9731","0.0","0","0","0","0","0","0","1","0","0"
"16.16","179.97","25.58","179.94","10.11","163.8","154.36","9.45","9.52","0.54","571.99","545.93","0.94","2.71","2.7","0.0176","0.0324","0.9943","0.9869","0.0","0","0","0","1","0","0","0","0","0"
"6.71","179.91","10.35","179.92","9.56","173.2","169.58","3.62","9.07","0.45","1779.05","2230.32","1.22","3.18","3.09","0.0812","0.0641","0.9958","0.9934","0.0","0","0","0","0","0","0","0","1","0"
"14.09","179.93","7.85","178.71","5.69","165.84","170.86","5.01","4.92","0.71","614.63","640.59","0.72","1.55","1.55","0.0259","0.0407","0.9895","0.9773","0.0","0","0","0","0","0","0","1","0","0"
"19.1","179.9","32.28","179.67","5.17","160.8","147.4","13.4","4.62","0.49","860.98","837.36","1.17","1.73","0.81","0.0146","0.0231","0.9961","0.9946","0.0","0","0","0","1","0","0","0","0","0"
"7.98","179.86","8.91","179.96","6.36","171.88","171.05","0.83","5.84","0.47","1478.36","1346.8","1.08","1.64","0.96","0.0211","0.0284","0.9905","0.9847","0.0","0","0","0","0","0","0","0","1","0"
"3.67","179.96","4.76","179.93","17.11","176.29","175.17","1.12","16.8","0.26","1587.41","2562.43","1.04","3.46","3.46","0.0492","0.0781","0.9924","0.9726","0.0","0","0","0","0","0","1","0","0","0"
"11.44","179.97","10.89","178.0","5.43","168.53","167.11","1.42","4.66","0.72","632.35","842.15","0.55","2.31","2.31","0.0142","0.0278","0.9949","0.9916","0.0","0","0","0","0","0","0","1","0","0"
"25.38","179.8","37.8","179.69","5.63","154.42","141.89","12.53","4.91","0.67","515.61","510.01","0.83","4.0","3.91","0.1069","0.2599","0.8748","0.7172","0.0","0","0","0","1","0","0","0","0","0"
